year,age,school,group,topic,count
2018,010,4,2,136100,..C
2018,010,4,9,136100,6
2018,010,5,1,136100,..C
2018,010,5,2,136100,..C
2018,010,5,9,136100,0
2018,010,6,1,136100,..C
2018,010,6,2,136100,..C
2018,010,6,9,136100,0
2018,010,9,1,136100,..C
2018,010,9,2,136100,..C
2018,010,9,9,136100,0
2018,010,77,1,136100,9
2018,010,77,2,136100,18
2018,010,77,9,136100,24
2018,010,9999,1,136100,9
2018,010,9999,2,136100,18
2018,010,9999,9,136100,24
2018,010,1,1,136200,9
2018,010,1,2,136200,6
2018,010,1,9,136200,15
2018,010,2,1,136200,..C
2018,010,2,2,136200,..C
2018,010,2,9,136200,3
2018,010,3,1,136200,..C
2018,010,3,2,136200,..C
2018,010,3,9,136200,3
2018,010,4,1,136200,..C
2018,010,4,2,136200,..C
2018,010,4,9,136200,0
2018,010,5,1,136200,..C
2018,010,5,2,136200,..C
2018,010,5,9,136200,0
2018,010,6,1,136200,..C
2018,010,6,2,136200,..C
2018,010,6,9,136200,0
2018,010,9,1,136200,..C
2018,010,9,2,136200,..C
2018,010,9,9,136200,0
2018,010,77,1,136200,9
2018,010,77,2,136200,9
2018,010,77,9,136200,21
2018,010,9999,1,136200,9
2018,010,9999,2,136200,9
2018,010,9999,9,136200,21
2018,010,1,1,136300,21
2018,010,1,2,136300,21
2018,010,1,9,136300,42
2018,010,2,1,136300,3
2018,010,2,2,136300,0
2018,010,2,9,136300,3
2018,010,3,1,136300,6
2018,010,3,2,136300,0
2018,010,3,9,136300,6
2018,010,4,1,136300,6
2018,010,4,2,136300,6
2018,010,4,9,136300,12
2018,010,5,1,136300,3
2018,010,5,2,136300,0
2018,010,5,9,136300,3
2018,010,6,1,136300,0
2018,010,6,2,136300,0
2018,010,6,9,136300,0
2018,010,9,1,136300,0
2018,010,9,2,136300,0
2018,010,9,9,136300,0
2018,010,77,1,136300,27
2018,010,77,2,136300,27
2018,010,77,9,136300,57
2018,010,9999,1,136300,27
2018,010,9999,2,136300,27
2018,010,9999,9,136300,57
2018,010,1,1,136400,9
2018,010,1,2,136400,6
2018,010,1,9,136400,12
2018,010,2,1,136400,0
2018,010,2,2,136400,0
2018,010,2,9,136400,0
2018,010,3,1,136400,0
2018,010,3,2,136400,0
2018,010,3,9,136400,0
2018,010,4,1,136400,3
2018,010,4,2,136400,3
2018,010,4,9,136400,9
2018,010,5,1,136400,0
2018,010,5,2,136400,0
2018,010,5,9,136400,3
2018,010,6,1,136400,0
2018,010,6,2,136400,0
2018,010,6,9,136400,0
2018,010,9,1,136400,0
2018,010,9,2,136400,0
2018,010,9,9,136400,0
2018,010,77,1,136400,15
2018,010,77,2,136400,9
2018,010,77,9,136400,24
2018,010,9999,1,136400,15
2018,010,9999,2,136400,9
2018,010,9999,9,136400,24
2018,010,1,1,136500,15
2018,010,1,2,136500,12
2018,010,1,9,136500,30
2018,010,2,1,136500,3
2018,010,2,2,136500,6
2018,010,2,9,136500,9
2018,010,3,1,136500,15
2018,010,3,2,136500,6
2018,010,3,9,136500,24
2018,010,4,1,136500,18
